seed,combo,t,queue,generated,matched,cancelled,completed,idle,enroute,ontrip,rebal,alertCells,maxPendingCell,trafficCells15,trafficCells25
20260906,final_balanced,1,0,5,5,0,0,155,5,0,0,0,0,131,43
20260906,final_balanced,2,7,12,5,0,0,148,5,0,7,6,2,131,43
20260906,final_balanced,3,12,19,7,0,0,104,2,5,49,8,3,131,43
20260906,final_balanced,4,12,27,15,0,0,91,10,5,54,7,4,131,43
20260906,final_balanced,5,1,35,34,0,0,95,27,7,31,1,1,131,43
20260906,final_balanced,6,1,40,39,0,0,92,24,15,29,1,1,131,43
20260906,final_balanced,7,2,48,46,0,0,93,12,34,21,2,1,131,43
20260906,final_balanced,8,7,55,48,0,0,76,9,39,36,6,2,131,43
20260906,final_balanced,9,10,60,50,0,0,78,4,46,32,7,2,131,43
20260906,final_balanced,10,1,66,65,0,0,78,17,48,17,1,1,131,43
20260906,final_balanced,11,0,73,73,0,0,74,23,50,13,0,0,131,43
20260906,final_balanced,12,7,81,74,0,0,82,9,65,4,6,2,131,43
20260906,final_balanced,13,12,86,74,0,0,77,1,73,9,8,2,131,43
20260906,final_balanced,14,17,92,75,0,1,63,1,73,23,9,3,131,43
20260906,final_balanced,15,23,100,77,0,1,53,3,73,31,8,5,131,43
20260906,final_balanced,16,26,106,80,0,6,49,5,69,37,8,7,131,43
20260906,final_balanced,17,23,111,88,0,11,40,11,66,43,9,5,131,43
20260906,final_balanced,18,19,117,98,0,18,43,18,62,37,9,5,131,43
20260906,final_balanced,19,14,125,111,0,21,34,23,67,36,10,2,131,43
20260906,final_balanced,20,16,131,115,0,24,26,17,74,43,10,3,121,40
20260906,final_balanced,21,19,137,118,0,29,41,7,82,30,10,4,121,40
20260906,final_balanced,22,21,143,122,0,34,60,7,81,12,10,5,121,40
20260906,final_balanced,23,25,149,124,0,41,61,6,77,16,12,5,121,40
20260906,final_balanced,24,25,154,129,0,49,42,7,73,38,12,5,121,40
20260906,final_balanced,25,30,161,131,0,52,30,7,72,51,11,6,126,43
20260906,final_balanced,26,30,166,136,0,57,46,7,72,35,11,7,126,43
20260906,final_balanced,27,36,172,136,0,69,79,5,62,14,12,7,126,43
20260906,final_balanced,28,41,178,137,0,72,79,1,64,16,14,7,126,43
20260906,final_balanced,29,42,184,142,0,77,73,6,59,22,11,6,126,43
20260906,final_balanced,30,46,191,145,0,82,77,8,55,20,14,6,131,43
20260906,final_balanced,31,50,196,146,0,87,31,4,55,70,19,6,131,43
20260906,final_balanced,32,47,203,156,0,88,21,11,57,71,17,6,131,43
20260906,final_balanced,33,33,210,177,0,94,43,31,52,34,10,6,131,43
20260906,final_balanced,34,34,218,184,0,97,27,28,59,46,11,6,131,43
20260906,final_balanced,35,25,223,198,0,99,11,21,78,50,14,4,131,43
20260906,final_balanced,36,27,229,202,0,107,10,18,77,55,14,4,131,43
20260906,final_balanced,37,34,237,203,0,112,12,5,86,57,16,4,131,43
20260906,final_balanced,38,25,245,220,0,117,0,18,85,57,15,4,131,43
20260906,final_balanced,39,16,251,235,0,122,6,32,81,41,10,3,131,43
20260906,final_balanced,40,19,257,238,0,127,7,18,93,42,13,3,131,43
20260906,final_balanced,41,15,264,249,0,130,10,14,105,31,11,2,131,43
20260906,final_balanced,42,15,269,254,0,135,12,16,103,29,11,2,131,43
20260906,final_balanced,43,19,274,255,0,137,1,6,112,41,13,3,131,43
20260906,final_balanced,44,17,282,265,0,142,8,11,112,29,12,3,131,43
