seed,combo,t,queue,generated,matched,cancelled,completed,idle,enroute,ontrip,rebal,alertCells,maxPendingCell,trafficCells15,trafficCells25
20260808,r3_d30_t1_w15,1,6,7,1,0,0,93,1,0,6,6,1,131,43
20260808,r3_d30_t1_w15,2,13,14,1,0,0,65,1,0,34,9,2,131,43
20260808,r3_d30_t1_w15,3,16,24,8,0,0,52,7,1,40,13,3,131,43
20260808,r3_d30_t1_w15,4,12,33,21,0,0,30,20,1,49,9,4,131,43
20260808,r3_d30_t1_w15,5,19,43,24,0,0,17,16,8,59,13,6,131,43
20260808,r3_d30_t1_w15,6,23,49,26,0,0,12,5,21,62,12,6,131,43
20260808,r3_d30_t1_w15,7,30,57,27,0,0,5,3,24,68,13,7,131,43
20260808,r3_d30_t1_w15,8,27,66,39,0,0,2,13,26,59,13,5,131,43
20260808,r3_d30_t1_w15,9,32,72,40,0,0,0,13,27,60,12,6,131,43
20260808,r3_d30_t1_w15,10,27,78,51,0,0,0,12,39,49,10,5,131,43
20260808,r3_d30_t1_w15,11,17,83,66,0,0,14,26,40,20,9,4,131,43
20260808,r3_d30_t1_w15,12,19,91,72,0,0,26,21,51,2,9,4,131,43
20260808,r3_d30_t1_w15,13,29,101,72,0,2,7,6,64,23,13,4,131,43
20260808,r3_d30_t1_w15,14,33,108,75,0,5,5,3,67,25,11,5,131,43
20260808,r3_d30_t1_w15,15,39,115,76,0,7,26,4,65,5,13,6,131,43
20260808,r3_d30_t1_w15,16,48,124,76,0,11,18,1,64,17,14,7,131,43
20260808,r3_d30_t1_w15,17,57,134,77,0,13,13,1,63,23,14,8,131,43
20260808,r3_d30_t1_w15,18,62,143,81,0,13,10,5,63,22,13,9,131,43
20260808,r3_d30_t1_w15,19,69,151,82,0,15,1,5,62,32,15,10,131,43
20260808,r3_d30_t1_w15,20,75,161,86,0,20,1,5,61,33,13,11,121,40
20260808,r3_d30_t1_w15,21,73,166,93,0,23,11,11,59,19,13,11,121,40
20260808,r3_d30_t1_w15,22,72,171,99,0,27,16,13,59,12,12,12,121,40
20260808,r3_d30_t1_w15,23,80,180,100,0,31,18,7,62,13,12,12,121,40
20260808,r3_d30_t1_w15,24,86,188,102,0,40,30,3,59,8,13,13,121,40
20260808,r3_d30_t1_w15,25,93,196,103,0,46,23,3,54,20,13,14,126,43
20260808,r3_d30_t1_w15,26,101,206,105,0,49,9,3,53,35,16,15,126,43
20260808,r3_d30_t1_w15,27,103,214,111,0,55,0,8,48,44,18,15,126,43
20260808,r3_d30_t1_w15,28,99,220,118,3,60,0,13,45,42,15,15,126,43
20260808,r3_d30_t1_w15,29,97,227,121,9,63,14,10,48,28,14,14,126,43
20260808,r3_d30_t1_w15,30,96,232,124,12,66,14,6,52,28,15,13,131,43
20260808,r3_d30_t1_w15,31,96,242,126,20,71,1,5,50,44,19,12,131,43
20260808,r3_d30_t1_w15,32,86,247,141,20,77,4,17,47,32,19,11,131,43
20260808,r3_d30_t1_w15,33,75,255,160,20,80,4,34,46,16,20,10,131,43
20260808,r3_d30_t1_w15,34,78,263,164,21,81,2,23,60,15,23,9,131,43
20260808,r3_d30_t1_w15,35,73,272,175,24,86,1,15,74,10,23,9,131,43
20260808,r3_d30_t1_w15,36,78,282,176,28,89,0,12,75,13,26,9,131,43
20260808,r3_d30_t1_w15,37,81,292,180,31,93,0,5,82,13,25,8,131,43
20260808,r3_d30_t1_w15,38,77,298,183,38,97,0,7,79,14,24,9,131,43
20260808,r3_d30_t1_w15,39,76,304,185,43,98,0,5,82,13,24,10,131,43
