seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,eta_mean_s,eta_p90_s,traffic_share_pct,avg_traffic_factor,avg_grid_traffic,avg_traffic_cells15,avg_traffic_cells25,generated_total,cancelled_total,completed_total
20260808,�'530_t@��,100,5-10,3,10,1,10,26.136932,328.444444,119.111111,1.937037,32.443743,62.844732,73,77,0.607116,3.890943,27.796673,7.600739,234.200000,15.654344,21,27,17,2.060168,5,30.420168,1.433210,1.010735,129.271719,42.717190,4477,3214,1175
20260808,�'530_t�,100,5-10,3,10,1,20,28.273152,324.444444,129.000000,2.131481,57.878916,123.367837,136,142,0.578780,4.282810,30.600739,7.238447,217.500000,20.120148,26,29,26,1.996568,5,27.145086,1.392746,1.010735,129.271719,42.717190,4538,3123,1256
20260808,�'530_t�,100,5-10,3,10,2,10,16.550349,372.000000,74.000000,1.229630,55.762700,68.567468,76,82,0.791571,2.465804,17.146026,1.231054,37.900000,10.138632,14,18,15,3.317871,5,43.626807,1.636991,1.010735,129.271719,42.717190,4460,3630,742
20260808,�'530_t�,100,5-10,3,10,2,20,20.222497,358.555556,93.111111,1.514815,88.931888,134.715342,146,157,0.739926,3.053604,21.654344,1.299445,39.300000,13.125693,18,18,25,3.232541,5,33.189189,1.482151,1.010735,129.271719,42.717190,4531,3456,912
20260808,�'530_t�,100,5-10,3,20,1,10,45.578896,247.555556,207.666667,3.455556,16.773868,57.963031,71,78,0.252994,6.920518,48.685767,19.094270,575.900000,15.421442,21,26,16,2.288395,5,44.938272,1.664291,1.010735,129.271719,42.717190,4569,2480,1992
20260808,�'530_t�,100,5-10,3,20,1,20,45.515032,245.666667,204.777778,3.420370,31.967871,109.341959,132,145,0.267671,6.837338,48.720887,17.674677,532.100000,18.208872,24,30,25,2.329657,5,44.113264,1.650556,1.010735,129.271719,42.717190,4520,2391,1962
20260808,�'530_t�,100,5-10,3,20,2,10,31.749513,311.222222,143.777778,2.412963,26.773137,64.602588,79,85,0.578355,4.811460,33.796673,3.556377,104.100000,9.519409,12,16,16,3.494759,6,69.121813,2.021827,1.010735,129.271719,42.717190,4552,3069,1378
20260808,�'530_t�,100,5-10,3,20,2,20,37.015362,287.000000,168.000000,2.811111,42.917230,120.645102,143,154,0.507745,5.615527,39.574861,4.035120,117.000000,12.484288,17,18,25,3.286980,5,59.841076,1.885275,1.010735,129.271719,42.717190,4569,2788,1604
20260808,�'530_t�,100,5-10,3,30,1,10,54.962963,202.666667,248.666667,4.122222,14.086672,58.068392,73,86,0.114695,8.249538,58.260628,22.020333,678.100000,15.380776,21,30,15,2.754157,6,54.519774,1.808394,1.010735,129.271719,42.717190,4502,1963,2425
20260808,�'530_t�,100,5-10,3,30,1,20,58.917589,185.555556,270.222222,4.435185,23.639313,104.844732,129,139,0.071146,8.898336,63.308688,20.678373,635.000000,19.887246,26,32,23,2.539249,6,45.052083,1.657247,1.010735,129.271719,42.717190,4535,1732,2643
