seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,eta_mean_s,eta_p90_s,traffic_share_pct,avg_traffic_factor,avg_grid_traffic,avg_traffic_cells15,avg_traffic_cells25,generated_total,cancelled_total,completed_total
20260808,r6_d30_t1_w20,100,5-10,6,30,1,20,48.949475,226.777778,216.555556,3.624074,29.758382,107.846580,132,146,0.295287,15.351201,50.354898,4.765250,138.400000,12.231054,17,18,22,4.098575,7,51.733967,1.746551,1.010735,129.271719,42.717190,4453,2215,2054
20260808,r3_d30_t1_w15,100,5-10,3,30,1,15,43.048327,255.333333,193.777778,3.216667,27.166732,87.386322,109,117,0.387394,10.597043,45.630314,5.033272,154.000000,10.628466,15,18,20,3.202241,6,65.190203,1.965732,1.010735,129.271719,42.717190,4505,2487,1873
20260808,r3_d30_t1_w20,100,5-10,3,30,1,20,46.757090,239.888889,210.777778,3.511111,32.384649,113.706100,143,151,0.336155,11.414048,49.425139,5.545287,160.000000,12.114603,17,19,22,3.138653,5,59.638848,1.882225,1.010735,129.271719,42.717190,4516,2322,2009
20260808,r6_d30_t1_w15,100,5-10,6,30,1,15,44.785276,250.000000,202.333333,3.379630,25.318593,85.567468,107,119,0.339538,14.417745,47.264325,4.364140,127.100000,10.693161,15,18,23,4.115030,7,55.161943,1.796113,1.010735,129.271719,42.717190,4541,2459,1931
20260808,r6_d30_t1_w25,100,5-10,6,30,1,25,50.454881,223.888889,228.555556,3.800000,35.576418,135.190388,160,182,0.257486,15.807763,53.639556,4.804067,140.200000,13.831793,18,18,27,4.022835,7,46.164199,1.662548,1.010735,129.271719,42.717190,4540,2143,2176
20260808,r6_d30_t2_w20,100,5-10,6,30,2,20,48.434394,230.555556,216.333333,3.609259,30.161180,108.859519,133,140,0.294954,15.412200,50.602588,4.489834,130.600000,11.151571,16,18,21,4.144345,7,49.835758,1.717269,1.010735,129.271719,42.717190,4481,2224,2074
20260808,r6_d20_t1_w20,100,5-10,6,20,1,20,39.026764,278.444444,180.222222,2.970370,38.988273,115.809612,137,148,0.418632,13.177449,41.739372,3.219963,94.100000,12.597043,18,18,24,4.260125,7,48.031945,1.683594,1.010735,129.271719,42.717190,4564,2687,1723
20260808,ctrl_d1_t5_w20,100,5-10,5,1,5,20,15.754438,379.666667,72.555556,1.183333,113.529978,134.343808,148,152,0.762865,6.467652,17.245841,0.000000,0.000000,9.463956,12,14,27,5.152044,8,20.163488,1.132262,1.010735,129.271719,42.717190,4516,3651,716
20260808,pure_default,100,5-10,3,10,2,10,15.663240,382.888889,71.222222,1.185185,59.429009,70.434381,79,83,0.777689,4.179298,16.820702,1.231054,37.000000,9.195933,11,15,21,3.348485,5,45.179063,1.666791,1.010735,129.271719,42.717190,4542,3751,707
20260808,r8_d30_t1_w20,100,5-10,8,30,1,20,48.589968,228.888889,215.111111,3.605556,29.667710,106.968577,131,150,0.269945,18.682070,50.377079,3.946396,115.600000,12.133087,17,18,28,4.999858,9,47.475224,1.647017,1.010735,129.271719,42.717190,4453,2212,2054
20260808,r10_d30_t1_w20,100,5-10,10,30,1,20,46.941293,239.000000,211.000000,3.524074,30.393532,107.109057,133,142,0.252218,22.223660,49.184843,3.369686,98.000000,12.262477,18,18,22,6.115115,12,44.577735,1.576862,1.010735,129.271719,42.717190,4530,2317,2025
20260808,r12_d30_t1_w20,100,5-10,12,30,1,20,46.098942,243.333333,209.555556,3.468519,31.454831,109.101664,132,142,0.221627,26.182994,48.824399,2.829945,84.000000,12.428835,17,19,23,7.320805,14,42.386033,1.515412,1.010735,129.271719,42.717190,4528,2351,2007
