seed,combo,t,queue,generated,matched,cancelled,completed,idle,enroute,ontrip,rebal,alertCells,maxPendingCell,trafficCells15,trafficCells25
20260808,r6_d30_t1_w20,1,5,7,2,0,0,98,2,0,0,0,1,131,43
20260808,r6_d30_t1_w20,2,11,13,2,0,0,93,2,0,5,3,3,131,43
20260808,r6_d30_t1_w20,3,17,19,2,0,0,74,2,0,24,4,4,131,43
20260808,r6_d30_t1_w20,4,17,24,7,0,0,73,6,1,20,4,5,131,43
20260808,r6_d30_t1_w20,5,3,29,26,0,0,73,23,3,1,0,1,131,43
20260808,r6_d30_t1_w20,6,8,35,27,0,0,73,11,16,0,2,2,131,43
20260808,r6_d30_t1_w20,7,14,41,27,0,0,73,7,20,0,4,4,131,43
20260808,r6_d30_t1_w20,8,23,50,27,0,0,73,4,23,0,7,5,131,43
20260808,r6_d30_t1_w20,9,32,59,27,0,0,73,3,24,0,7,6,131,43
20260808,r6_d30_t1_w20,10,38,66,28,0,0,71,3,25,1,8,7,131,43
20260808,r6_d30_t1_w20,11,47,75,28,0,0,71,2,26,1,8,7,131,43
20260808,r6_d30_t1_w20,12,51,81,30,0,0,70,4,26,0,8,8,131,43
20260808,r6_d30_t1_w20,13,61,91,30,0,1,71,3,26,0,9,8,131,43
20260808,r6_d30_t1_w20,14,65,96,31,0,1,69,3,27,1,9,9,131,43
20260808,r6_d30_t1_w20,15,74,106,32,0,4,71,4,24,1,9,9,131,43
20260808,r6_d30_t1_w20,16,79,113,34,0,4,70,5,25,0,9,10,131,43
20260808,r6_d30_t1_w20,17,86,121,35,0,4,69,5,26,0,9,11,131,43
20260808,r6_d30_t1_w20,18,91,127,36,0,6,70,6,24,0,9,12,131,43
20260808,r6_d30_t1_w20,19,97,134,37,0,10,69,5,22,4,9,13,131,43
20260808,r6_d30_t1_w20,20,102,141,39,0,13,70,5,21,4,9,14,121,40
20260808,r6_d30_t1_w20,21,103,146,43,0,13,70,8,22,0,9,15,121,40
20260808,r6_d30_t1_w20,22,109,153,44,0,14,70,7,23,0,9,15,121,40
20260808,r6_d30_t1_w20,23,112,160,47,1,17,68,10,20,2,9,16,121,40
20260808,r6_d30_t1_w20,24,118,168,49,1,21,69,12,16,3,9,17,121,40
20260808,r6_d30_t1_w20,25,124,177,52,1,25,69,14,13,4,9,18,126,43
20260808,r6_d30_t1_w20,26,127,182,54,1,26,69,11,17,3,9,18,126,43
20260808,r6_d30_t1_w20,27,129,190,57,4,26,69,13,18,0,9,20,126,43
20260808,r6_d30_t1_w20,28,129,197,57,11,27,69,10,20,1,9,21,126,43
20260808,r6_d30_t1_w20,29,126,203,58,19,28,68,9,21,2,9,20,126,43
20260808,r6_d30_t1_w20,30,126,212,63,23,28,63,12,23,2,10,18,131,43
20260808,r6_d30_t1_w20,31,124,219,64,31,29,49,10,25,16,12,17,131,43
20260808,r6_d30_t1_w20,32,126,228,65,37,31,39,9,25,27,15,17,131,43
20260808,r6_d30_t1_w20,33,111,237,81,45,32,39,24,25,12,12,16,131,43
20260808,r6_d30_t1_w20,34,106,247,93,48,32,39,30,31,0,10,16,131,43
20260808,r6_d30_t1_w20,35,106,257,94,57,35,41,28,31,0,14,15,131,43
20260808,r6_d30_t1_w20,36,111,267,94,62,36,41,22,36,1,15,13,131,43
20260808,r6_d30_t1_w20,37,111,274,96,67,40,42,13,43,2,15,12,131,43
20260808,r6_d30_t1_w20,38,113,283,99,71,40,39,10,49,2,17,12,131,43
20260808,r6_d30_t1_w20,39,115,291,100,76,40,39,9,51,1,17,11,131,43
20260808,r6_d30_t1_w20,40,115,301,103,83,40,37,10,53,0,18,10,131,43
20260808,r6_d30_t1_w20,41,117,307,103,87,43,38,8,52,2,18,10,131,43
20260808,r6_d30_t1_w20,42,119,316,104,93,44,37,7,53,3,18,10,131,43
20260808,r6_d30_t1_w20,43,118,322,107,97,48,38,9,50,3,18,10,131,43
20260808,r6_d30_t1_w20,44,117,331,111,103,54,40,11,46,3,18,11,131,43
20260808,r6_d30_t1_w20,45,116,340,114,110,56,40,12,46,2,17,10,131,43
20260808,r6_d30_t1_w20,46,117,348,117,114,58,39,11,48,2,16,11,131,43
20260808,r6_d30_t1_w20,47,118,358,118,122,60,41,11,47,1,14,13,131,43
20260808,r6_d30_t1_w20,48,118,368,121,129,68,42,13,40,5,10,14,131,43
20260808,r6_d30_t1_w20,49,119,376,122,135,72,43,10,40,7,9,15,131,43
20260808,r6_d30_t1_w20,50,122,382,125,135,75,48,11,39,2,9,14,126,43
20260808,r6_d30_t1_w20,51,127,389,126,136,79,52,10,37,1,9,15,126,43
20260808,r6_d30_t1_w20,52,132,399,131,136,83,51,12,36,1,9,16,126,43
20260808,r6_d30_t1_w20,53,138,408,133,137,87,54,12,34,0,9,17,126,43
20260808,r6_d30_t1_w20,54,145,416,133,138,90,53,10,33,4,9,18,126,43
20260808,r6_d30_t1_w20,55,150,425,133,142,93,55,8,32,5,9,18,131,43
20260808,r6_d30_t1_w20,56,147,434,139,148,96,56,12,31,1,9,18,131,43
20260808,r6_d30_t1_w20,57,148,441,141,152,98,56,12,31,1,9,18,131,43
20260808,r6_d30_t1_w20,58,147,447,142,158,101,57,10,31,2,9,18,131,43
20260808,r6_d30_t1_w20,59,145,453,143,165,103,57,8,32,3,9,18,131,43
20260808,r6_d30_t1_w20,60,144,460,145,171,104,55,7,34,4,10,18,131,43
20260808,r6_d30_t1_w20,61,146,468,148,174,105,41,9,34,16,13,18,131,43
20260808,r6_d30_t1_w20,62,144,475,151,180,107,14,10,34,42,15,16,131,43
20260808,r6_d30_t1_w20,63,132,483,166,185,111,15,25,30,30,11,16,131,43
20260808,r6_d30_t1_w20,64,120,493,179,194,113,32,33,33,2,9,15,131,43
20260808,r6_d30_t1_w20,65,116,500,182,202,114,31,26,42,1,9,15,131,43
20260808,r6_d30_t1_w20,66,107,507,190,210,118,26,26,46,2,9,15,131,43
20260808,r6_d30_t1_w20,67,97,512,197,218,119,21,28,50,1,9,14,131,43
20260808,r6_d30_t1_w20,68,89,518,204,225,123,18,27,54,1,9,14,131,43
20260808,r6_d30_t1_w20,69,92,527,204,231,124,17,19,61,3,11,14,131,43
20260808,r6_d30_t1_w20,70,93,534,206,235,126,15,17,63,5,14,13,131,43
20260808,r6_d30_t1_w20,71,91,542,209,242,129,15,17,63,5,15,13,131,43
20260808,r6_d30_t1_w20,72,88,547,212,247,131,16,13,68,3,15,12,131,43
20260808,r6_d30_t1_w20,73,82,553,216,255,136,16,13,67,4,15,11,131,43
20260808,r6_d30_t1_w20,74,81,559,217,261,138,16,9,70,5,13,10,131,43
20260808,r6_d30_t1_w20,75,75,564,221,268,143,18,9,69,4,14,9,131,43
20260808,r6_d30_t1_w20,76,69,570,225,276,147,19,11,67,3,13,8,131,43
20260808,r6_d30_t1_w20,77,70,580,229,281,148,17,11,70,2,11,7,131,43
20260808,r6_d30_t1_w20,78,70,586,230,286,151,18,9,70,3,10,7,131,43
20260808,r6_d30_t1_w20,79,68,592,232,292,156,20,10,66,4,8,8,131,43
20260808,r6_d30_t1_w20,80,71,599,236,292,161,21,12,63,4,8,10,131,43
20260808,r6_d30_t1_w20,81,71,604,240,293,169,27,14,57,2,9,9,131,43
20260808,r6_d30_t1_w20,82,74,612,244,294,174,29,18,52,1,9,10,131,43
20260808,r6_d30_t1_w20,83,79,618,244,295,179,33,16,49,2,9,11,131,43
20260808,r6_d30_t1_w20,84,82,623,246,295,185,37,16,45,2,9,12,131,43
20260808,r6_d30_t1_w20,85,85,629,249,295,193,40,15,41,4,9,14,131,43
20260808,r6_d30_t1_w20,86,93,639,251,295,195,41,15,41,3,9,15,131,43
20260808,r6_d30_t1_w20,87,97,646,254,295,197,42,13,44,1,9,15,131,43
20260808,r6_d30_t1_w20,88,100,653,257,296,204,44,14,39,3,9,16,131,43
20260808,r6_d30_t1_w20,89,106,662,259,297,208,47,13,38,2,9,15,131,43
20260808,r6_d30_t1_w20,90,104,669,266,299,210,43,17,39,1,9,15,131,43
20260808,r6_d30_t1_w20,91,106,674,269,299,212,41,18,39,2,9,15,131,43
20260808,r6_d30_t1_w20,92,107,680,272,301,215,39,20,37,4,10,15,131,43
20260808,r6_d30_t1_w20,93,106,687,277,304,218,22,21,38,19,13,15,131,43
20260808,r6_d30_t1_w20,94,105,695,284,306,222,21,23,39,17,16,14,131,43
20260808,r6_d30_t1_w20,95,92,700,300,308,226,24,34,40,2,11,14,131,43
20260808,r6_d30_t1_w20,96,93,705,302,310,226,23,30,46,1,13,14,131,43
20260808,r6_d30_t1_w20,97,96,715,303,316,230,24,24,49,3,16,12,131,43
20260808,r6_d30_t1_w20,98,98,722,304,320,230,23,17,57,3,17,12,131,43
20260808,r6_d30_t1_w20,99,99,728,307,322,233,25,18,56,1,17,10,131,43
20260808,r6_d30_t1_w20,100,103,738,307,328,236,28,13,58,1,17,8,121,40
20260808,r6_d30_t1_w20,101,105,744,308,331,239,26,8,61,5,17,8,121,40
20260808,r6_d30_t1_w20,102,106,751,308,337,240,27,6,62,5,17,8,121,40
20260808,r6_d30_t1_w20,103,105,758,313,340,241,25,6,66,3,18,9,121,40
20260808,r6_d30_t1_w20,104,107,764,313,344,245,26,3,65,6,18,10,121,40
20260808,r6_d30_t1_w20,105,106,774,319,349,249,25,6,64,5,18,11,131,43
20260808,r6_d30_t1_w20,106,104,783,324,355,253,24,11,60,5,14,11,131,43
20260808,r6_d30_t1_w20,107,104,792,328,360,258,25,13,57,5,11,12,131,43
20260808,r6_d30_t1_w20,108,104,800,332,364,261,25,15,56,4,9,13,131,43
20260808,r6_d30_t1_w20,109,100,808,338,370,270,27,20,48,5,9,12,131,43
20260808,r6_d30_t1_w20,110,105,816,341,370,274,28,19,48,5,9,12,131,43
20260808,r6_d30_t1_w20,111,106,821,344,371,276,29,17,51,3,9,13,131,43
20260808,r6_d30_t1_w20,112,106,827,349,372,280,29,19,50,2,9,16,131,43
20260808,r6_d30_t1_w20,113,110,832,350,372,288,35,15,47,3,9,16,131,43
20260808,r6_d30_t1_w20,114,116,841,353,372,296,36,14,43,7,9,16,131,43
20260808,r6_d30_t1_w20,115,122,850,356,372,302,39,14,40,7,9,16,131,43
20260808,r6_d30_t1_w20,116,121,858,363,374,306,41,18,39,2,9,16,131,43
20260808,r6_d30_t1_w20,117,128,867,365,374,308,43,18,39,0,9,17,131,43
20260808,r6_d30_t1_w20,118,133,872,365,374,308,43,12,45,0,9,18,131,43
