seed,combo,t,queue,generated,matched,cancelled,completed,idle,enroute,ontrip,rebal,alertCells,maxPendingCell,trafficCells15,trafficCells25
20260906,r6_d30_t1_w20,1,5,8,3,0,0,96,3,0,1,1,2,131,43
20260906,r6_d30_t1_w20,2,10,14,4,0,0,83,4,0,13,2,3,131,43
20260906,r6_d30_t1_w20,3,17,23,6,0,0,65,5,1,29,4,4,131,43
20260906,r6_d30_t1_w20,4,13,31,18,0,0,64,16,2,18,2,2,131,43
20260906,r6_d30_t1_w20,5,5,40,35,0,0,64,29,6,1,0,1,131,43
20260906,r6_d30_t1_w20,6,10,47,37,0,0,63,26,11,0,1,2,131,43
20260906,r6_d30_t1_w20,7,17,54,37,0,0,63,14,23,0,4,3,131,43
20260906,r6_d30_t1_w20,8,22,61,39,0,0,61,10,29,0,5,4,131,43
20260906,r6_d30_t1_w20,9,28,71,43,0,0,57,12,31,0,6,5,131,43
20260906,r6_d30_t1_w20,10,32,78,46,0,0,54,12,34,0,6,6,131,43
20260906,r6_d30_t1_w20,11,41,88,47,0,0,50,12,35,3,7,8,131,43
20260906,r6_d30_t1_w20,12,49,96,47,0,0,50,9,38,3,8,9,131,43
20260906,r6_d30_t1_w20,13,51,102,51,0,0,49,8,43,0,9,9,131,43
20260906,r6_d30_t1_w20,14,57,108,51,0,1,47,6,44,3,9,10,131,43
20260906,r6_d30_t1_w20,15,62,113,51,0,3,48,5,43,4,9,10,131,43
20260906,r6_d30_t1_w20,16,64,118,54,0,3,47,6,45,2,9,9,131,43
20260906,r6_d30_t1_w20,17,68,125,57,0,4,46,7,46,1,9,11,131,43
20260906,r6_d30_t1_w20,18,72,130,58,0,6,48,7,45,0,9,11,131,43
20260906,r6_d30_t1_w20,19,79,139,60,0,8,48,8,44,0,9,13,131,43
20260906,r6_d30_t1_w20,20,86,147,61,0,11,50,7,43,0,9,13,121,40
20260906,r6_d30_t1_w20,21,88,152,63,1,16,52,9,38,1,9,13,121,40
20260906,r6_d30_t1_w20,22,94,160,65,1,22,55,7,36,2,9,14,121,40
20260906,r6_d30_t1_w20,23,96,165,68,1,28,57,9,31,3,9,14,121,40
20260906,r6_d30_t1_w20,24,104,175,70,1,30,57,10,30,3,9,14,121,40
20260906,r6_d30_t1_w20,25,105,180,73,2,31,57,10,32,1,9,15,126,43
20260906,r6_d30_t1_w20,26,109,187,76,2,34,56,12,30,2,9,15,126,43
20260906,r6_d30_t1_w20,27,119,197,76,2,37,58,9,30,3,9,16,126,43
20260906,r6_d30_t1_w20,28,124,205,79,2,37,57,11,31,1,9,17,126,43
20260906,r6_d30_t1_w20,29,123,210,80,7,42,59,8,30,3,9,15,126,43
20260906,r6_d30_t1_w20,30,122,215,82,11,43,56,9,30,5,9,15,131,43
20260906,r6_d30_t1_w20,31,119,223,88,16,45,49,13,30,8,12,15,131,43
20260906,r6_d30_t1_w20,32,119,231,91,21,53,32,13,25,30,15,13,131,43
20260906,r6_d30_t1_w20,33,114,236,98,24,54,30,14,30,26,15,12,131,43
20260906,r6_d30_t1_w20,34,95,245,123,27,55,30,35,33,2,9,12,131,43
20260906,r6_d30_t1_w20,35,97,255,127,31,57,30,31,39,0,10,12,131,43
20260906,r6_d30_t1_w20,36,97,262,129,36,60,30,23,46,1,12,12,131,43
20260906,r6_d30_t1_w20,37,100,270,129,41,61,29,20,48,3,14,12,131,43
20260906,r6_d30_t1_w20,38,103,279,130,46,62,29,13,55,3,16,10,131,43
20260906,r6_d30_t1_w20,39,100,284,133,51,62,27,9,62,2,16,10,131,43
20260906,r6_d30_t1_w20,40,102,294,134,58,64,27,8,62,3,18,10,131,43
20260906,r6_d30_t1_w20,41,104,303,136,63,64,25,8,64,3,18,9,131,43
20260906,r6_d30_t1_w20,42,102,309,138,69,68,28,8,62,2,17,8,131,43
20260906,r6_d30_t1_w20,43,100,314,141,73,73,29,9,59,3,17,7,131,43
20260906,r6_d30_t1_w20,44,98,319,142,79,78,34,6,58,2,16,7,131,43
20260906,r6_d30_t1_w20,45,100,327,144,83,84,37,8,52,3,15,8,131,43
20260906,r6_d30_t1_w20,46,98,332,144,90,85,37,5,54,4,14,9,131,43
20260906,r6_d30_t1_w20,47,93,341,150,98,90,37,10,50,3,12,10,131,43
20260906,r6_d30_t1_w20,48,90,347,154,103,92,36,14,48,2,11,10,131,43
20260906,r6_d30_t1_w20,49,92,356,157,107,94,36,14,49,1,9,11,131,43
20260906,r6_d30_t1_w20,50,95,361,158,108,96,37,13,49,1,9,12,126,43
20260906,r6_d30_t1_w20,51,98,368,162,108,106,43,12,44,1,9,14,126,43
20260906,r6_d30_t1_w20,52,106,376,162,108,110,45,10,42,3,9,14,126,43
20260906,r6_d30_t1_w20,53,111,384,165,108,116,48,12,37,3,10,15,126,43
20260906,r6_d30_t1_w20,54,110,390,169,111,122,40,12,35,13,10,15,126,43
20260906,r6_d30_t1_w20,55,115,397,171,111,127,36,11,33,20,9,15,131,43
20260906,r6_d30_t1_w20,56,117,402,174,111,131,48,10,33,9,9,14,131,43
20260906,r6_d30_t1_w20,57,117,407,179,111,134,52,12,33,3,9,14,131,43
20260906,r6_d30_t1_w20,58,115,412,180,117,135,53,11,34,2,9,15,131,43
20260906,r6_d30_t1_w20,59,118,417,182,117,135,53,12,35,0,9,15,131,43
20260906,r6_d30_t1_w20,60,114,422,182,126,136,53,10,36,1,10,13,131,43
20260906,r6_d30_t1_w20,61,117,432,182,133,139,40,8,35,17,13,13,131,43
20260906,r6_d30_t1_w20,62,116,441,186,139,143,8,8,35,49,16,12,131,43
20260906,r6_d30_t1_w20,63,100,446,204,142,147,8,23,34,35,11,11,131,43
20260906,r6_d30_t1_w20,64,85,451,220,146,149,27,37,34,2,9,10,131,43
20260906,r6_d30_t1_w20,65,79,461,228,154,151,23,36,41,0,9,9,131,43
20260906,r6_d30_t1_w20,66,75,468,234,159,152,18,32,50,0,9,9,131,43
20260906,r6_d30_t1_w20,67,70,473,239,164,154,15,25,60,0,9,8,131,43
20260906,r6_d30_t1_w20,68,69,483,245,169,156,10,24,65,1,10,8,131,43
20260906,r6_d30_t1_w20,69,70,492,247,175,160,5,16,71,8,13,7,131,43
20260906,r6_d30_t1_w20,70,74,501,248,179,162,6,14,72,8,14,6,131,43
20260906,r6_d30_t1_w20,71,70,510,255,185,162,6,19,74,1,13,7,131,43
20260906,r6_d30_t1_w20,72,69,518,258,191,166,6,20,72,2,14,7,131,43
20260906,r6_d30_t1_w20,73,67,523,260,196,171,7,17,72,4,13,6,131,43
20260906,r6_d30_t1_w20,74,68,528,263,197,178,10,17,68,5,12,6,131,43
20260906,r6_d30_t1_w20,75,65,535,267,203,182,11,18,67,4,12,7,131,43
20260906,r6_d30_t1_w20,76,68,544,271,205,185,11,19,67,3,11,9,131,43
20260906,r6_d30_t1_w20,77,71,552,274,207,196,15,21,57,7,10,11,131,43
20260906,r6_d30_t1_w20,78,71,561,279,211,201,16,17,61,6,10,12,131,43
20260906,r6_d30_t1_w20,79,69,566,286,211,210,19,20,56,5,9,12,131,43
20260906,r6_d30_t1_w20,80,73,575,291,211,215,19,21,55,5,9,13,131,43
20260906,r6_d30_t1_w20,81,75,583,296,212,217,20,19,60,1,9,14,131,43
20260906,r6_d30_t1_w20,82,82,591,297,212,220,23,18,59,0,9,13,131,43
20260906,r6_d30_t1_w20,83,89,599,298,212,226,27,17,55,1,9,15,131,43
20260906,r6_d30_t1_w20,84,96,608,300,212,231,30,15,54,1,9,16,131,43
20260906,r6_d30_t1_w20,85,97,613,303,213,234,29,14,55,2,9,15,131,43
20260906,r6_d30_t1_w20,86,102,619,303,214,236,29,11,56,4,9,16,131,43
20260906,r6_d30_t1_w20,87,104,624,306,214,240,31,14,52,3,9,16,131,43
20260906,r6_d30_t1_w20,88,107,630,308,215,243,33,11,54,2,9,16,131,43
20260906,r6_d30_t1_w20,89,113,639,311,215,248,35,14,49,2,9,17,131,43
20260906,r6_d30_t1_w20,90,118,649,315,216,254,35,15,46,4,10,16,131,43
20260906,r6_d30_t1_w20,91,123,657,318,216,255,30,13,50,7,12,15,131,43
20260906,r6_d30_t1_w20,92,126,665,323,216,262,21,15,46,18,14,15,131,43
20260906,r6_d30_t1_w20,93,122,670,331,217,268,23,22,41,14,14,15,131,43
20260906,r6_d30_t1_w20,94,112,680,346,222,272,22,32,42,4,10,14,131,43
20260906,r6_d30_t1_w20,95,112,688,348,228,273,21,26,49,4,12,13,131,43
20260906,r6_d30_t1_w20,96,109,693,352,232,277,23,21,54,2,14,11,131,43
20260906,r6_d30_t1_w20,97,106,703,357,240,280,20,21,56,3,16,10,131,43
20260906,r6_d30_t1_w20,98,105,712,359,248,281,20,19,59,2,17,8,131,43
20260906,r6_d30_t1_w20,99,107,717,360,250,285,20,18,57,5,17,8,131,43
20260906,r6_d30_t1_w20,100,105,723,362,256,286,20,15,61,4,18,8,121,40
20260906,r6_d30_t1_w20,101,104,732,368,260,289,19,18,61,2,18,10,121,40
20260906,r6_d30_t1_w20,102,105,740,368,267,292,21,12,64,3,18,11,121,40
20260906,r6_d30_t1_w20,103,105,750,371,274,297,24,11,63,2,17,13,121,40
20260906,r6_d30_t1_w20,104,103,755,373,279,299,24,10,64,2,15,13,121,40
20260906,r6_d30_t1_w20,105,105,765,376,284,302,24,11,63,2,14,13,131,43
20260906,r6_d30_t1_w20,106,107,774,379,288,306,24,11,62,3,13,13,131,43
20260906,r6_d30_t1_w20,107,110,783,380,293,310,26,9,61,4,11,16,131,43
20260906,r6_d30_t1_w20,108,108,788,383,297,313,26,10,60,4,10,16,131,43
20260906,r6_d30_t1_w20,109,104,794,386,304,319,27,11,56,6,9,16,131,43
20260906,r6_d30_t1_w20,110,109,804,390,305,327,33,14,49,4,9,15,131,43
20260906,r6_d30_t1_w20,111,112,811,394,305,330,36,18,46,0,9,15,131,43
20260906,r6_d30_t1_w20,112,119,821,397,305,336,37,18,43,2,9,18,131,43
20260906,r6_d30_t1_w20,113,126,830,399,305,338,37,16,45,2,9,18,131,43
20260906,r6_d30_t1_w20,114,126,837,405,306,344,39,18,43,0,9,18,131,43
20260906,r6_d30_t1_w20,115,132,844,405,307,344,39,15,46,0,9,19,131,43
20260906,r6_d30_t1_w20,116,140,854,407,307,350,41,12,45,2,9,20,131,43
20260906,r6_d30_t1_w20,117,145,864,407,312,352,42,10,45,3,9,21,131,43
20260906,r6_d30_t1_w20,118,140,874,415,319,362,43,17,36,4,9,20,131,43
20260906,r6_d30_t1_w20,119,142,880,416,322,364,45,16,36,3,9,20,131,43
20260906,r6_d30_t1_w20,120,138,885,423,324,366,43,19,38,0,9,20,131,43
20260906,r6_d30_t1_w20,121,136,895,426,333,368,39,18,40,3,11,19,131,43
20260906,r6_d30_t1_w20,122,136,902,426,340,369,21,17,40,22,14,18,131,43
20260906,r6_d30_t1_w20,123,129,907,430,348,371,22,17,42,19,16,17,131,43
20260906,r6_d30_t1_w20,124,112,912,450,350,378,27,33,39,1,9,17,131,43
20260906,r6_d30_t1_w20,125,112,920,450,358,378,26,28,44,2,11,15,121,40
20260906,r6_d30_t1_w20,126,110,930,456,364,382,22,32,42,4,13,14,121,40
20260906,r6_d30_t1_w20,127,109,936,457,370,385,22,22,50,6,14,14,121,40
20260906,r6_d30_t1_w20,128,109,941,460,372,387,24,18,55,3,15,14,121,40
20260906,r6_d30_t1_w20,129,113,950,465,372,392,25,16,57,2,16,13,121,40
20260906,r6_d30_t1_w20,130,110,956,466,380,394,25,16,56,3,16,11,131,43
20260906,r6_d30_t1_w20,131,109,962,470,383,398,27,11,61,1,17,11,131,43
20260906,r6_d30_t1_w20,132,111,972,471,390,400,28,10,61,1,17,10,131,43
20260906,r6_d30_t1_w20,133,111,981,472,398,405,31,10,57,2,18,12,131,43
20260906,r6_d30_t1_w20,134,108,986,473,405,407,32,8,58,2,18,13,131,43
20260906,r6_d30_t1_w20,135,108,994,474,412,411,33,5,58,4,17,12,131,43
20260906,r6_d30_t1_w20,136,101,999,477,421,416,34,6,55,5,14,13,131,43
20260906,r6_d30_t1_w20,137,92,1004,483,429,420,33,12,51,4,12,13,131,43
20260906,r6_d30_t1_w20,138,84,1010,489,437,428,35,15,46,4,10,13,131,43
20260906,r6_d30_t1_w20,139,89,1020,491,440,432,34,15,44,7,9,13,131,43
20260906,r6_d30_t1_w20,140,94,1027,493,440,435,36,14,44,6,9,14,131,43
20260906,r6_d30_t1_w20,141,96,1034,497,441,437,39,14,46,1,9,16,131,43
20260906,r6_d30_t1_w20,142,104,1044,498,442,442,41,13,43,3,9,17,131,43
20260906,r6_d30_t1_w20,143,113,1053,498,442,446,45,11,41,3,9,17,131,43
20260906,r6_d30_t1_w20,144,118,1062,502,442,452,50,11,39,0,9,16,131,43
20260906,r6_d30_t1_w20,145,122,1068,504,442,452,48,9,43,0,9,17,131,43
20260906,r6_d30_t1_w20,146,125,1074,507,442,457,48,10,40,2,9,18,131,43
20260906,r6_d30_t1_w20,147,125,1079,508,446,461,51,10,37,2,9,18,131,43
20260906,r6_d30_t1_w20,148,127,1085,512,446,463,51,13,36,0,9,19,131,43
20260906,r6_d30_t1_w20,149,127,1093,513,453,466,52,13,34,1,9,19,131,43
20260906,r6_d30_t1_w20,150,124,1099,518,457,472,52,16,30,2,9,19,131,43
20260906,r6_d30_t1_w20,151,123,1107,521,463,473,48,17,31,4,11,17,131,43
20260906,r6_d30_t1_w20,152,123,1115,522,470,473,15,15,34,36,13,17,131,43
20260906,r6_d30_t1_w20,153,118,1123,526,479,475,9,12,39,40,14,15,131,43
20260906,r6_d30_t1_w20,154,100,1128,544,484,478,24,26,40,10,9,14,131,43
20260906,r6_d30_t1_w20,155,95,1138,556,487,483,24,35,38,3,9,13,126,43
20260906,r6_d30_t1_w20,156,88,1145,567,490,484,17,39,44,0,9,13,126,43
20260906,r6_d30_t1_w20,157,86,1151,573,492,484,11,35,54,0,9,13,126,43
20260906,r6_d30_t1_w20,158,87,1158,574,497,484,8,30,60,2,11,11,126,43
20260906,r6_d30_t1_w20,159,87,1168,574,507,491,11,22,61,6,11,10,126,43
20260906,r6_d30_t1_w20,160,87,1178,578,513,495,10,19,64,7,14,9,131,43
20260906,r6_d30_t1_w20,161,85,1184,582,517,498,11,19,65,5,16,9,131,43
