seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,generated_total,cancelled_total,completed_total
20260808,baseline,100,5-10,3,10,2,10,15.936353,381.555556,73.555556,1.205556,58.228575,70.197782,78,87,0.791978,2.414048,17.181146,1.207024,3.621072,10.088725,14,17,16,4538,3714,736
20260808,surplus,200,5-10,3,10,2,10,28.072727,329.666667,128.000000,2.144444,31.104747,66.702403,77,81,0.815037,4.299445,30.203327,2.489834,7.469501,9.931608,13,17,18,4575,3215,1265
20260808,busy_moderate,100,12-20,3,10,2,10,12.174517,843.222222,116.444444,1.948148,76.308308,148.659889,160,168,0.673087,3.914972,27.523105,1.253235,3.759704,11.197782,18,19,29,9612,8281,1152
20260808,busy_heavy,80,18-30,3,10,2,10,9.465531,1298.666667,136.000000,2.262963,99.640358,225.482440,246,257,0.529413,4.530499,32.146026,0.970425,2.911275,11.458410,18,19,41,14429,12830,1329
20260808,overload,60,25-40,3,10,2,10,6.286982,1830.111111,122.666667,2.046296,153.174263,313.439926,337,351,0.434812,4.103512,29.133087,0.674677,2.024030,11.674677,18,19,53,19521,17978,1186
20260808,small_radius,100,5-10,1,10,2,10,12.237330,394.444444,56.222222,0.916667,78.569652,72.022181,81,86,0.835471,1.844732,13.262477,1.345656,4.036969,10.009242,14,17,19,4501,3873,548
20260808,big_radius,100,5-10,8,10,2,10,23.454952,342.666667,105.555556,1.750000,35.914444,62.850277,74,84,0.705416,3.513863,25.033272,0.911275,2.733826,10.007394,14,18,17,4491,3374,1034
20260808,weak_rebalance,100,12-20,3,5,5,10,10.519556,851.555556,101.111111,1.668519,88.596199,147.824399,162,171,0.721405,3.347505,24.033272,0.478743,1.436229,9.820702,13,18,26,9518,8350,987
20260808,agile_rebalance,100,12-20,3,15,1,10,24.370133,733.777778,235.000000,3.940741,35.283345,139.042514,154,163,0.175582,7.883549,55.706100,18.852126,56.556377,23.040665,30,38,26,9696,7206,2276
20260808,short_timeout,100,12-20,3,10,2,5,11.090357,846.222222,106.444444,1.759259,42.211305,74.260628,85,91,0.703272,3.513863,24.985213,1.173752,3.521257,9.658041,12,18,18,9578,8417,1056
20260808,long_timeout,100,12-20,3,10,2,30,16.889651,807.555556,162.777778,2.735185,159.557604,436.419593,458,474,0.545896,5.478743,38.609982,1.321627,3.964880,17.258780,18,19,56,9722,7655,1580
20260808,demo_balanced,120,10-18,4,12,3,15,19.944525,673.444444,168.666667,2.796296,66.314943,185.436229,201,214,0.605853,5.604436,39.852126,1.841035,5.523105,11.972274,18,18,35,8423,6546,1656
20260808,demo_surge,90,15-25,3,12,2,12,11.593802,1065.000000,140.333333,2.327778,96.673005,225.033272,243,254,0.564346,4.661738,33.107209,1.439926,4.319778,11.972274,18,19,38,12102,10450,1381
20260808,demo_smooth,180,6-10,3,8,2,10,19.214487,381.666667,92.000000,1.512963,47.431136,71.761553,81,86,0.852834,3.029575,21.905730,1.554529,4.663586,10.225508,14,18,16,4752,3736,919
20260808,demo_showcase,130,12-22,4,15,2,15,22.187228,796.111111,226.111111,3.783333,58.710660,222.121996,249,280,0.511204,7.548983,53.157116,2.837338,8.512015,12.695009,18,18,35,10228,7752,2197
20260808,big_fleet_surge,300,25-40,3,10,2,10,18.755357,1579.666667,364.666667,6.077778,46.923464,285.190388,309,329,0.659766,12.181146,86.665434,3.223660,9.670980,11.569316,18,19,46,19421,15455,3598
