seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,eta_mean_s,eta_p90_s,traffic_share_pct,avg_traffic_factor,avg_grid_traffic,avg_traffic_cells15,avg_traffic_cells25,generated_total,cancelled_total,completed_total
20260808,A_default,100,5-10,3,10,2,10,16.550349,372.000000,74.000000,1.229630,55.762700,68.567468,76,82,0.791571,2.465804,17.146026,1.231054,37.900000,10.138632,14,18,15,3.317871,5,43.626807,1.636991,1.010735,129.271719,42.717190,4460,3630,742
20260808,r6,100,5-10,6,10,2,10,20.389067,359.222222,93.222222,1.533333,42.890380,65.765250,75,81,0.736451,3.081331,22.282810,0.990758,30.000000,9.981516,14,18,19,4.743803,7,32.585470,1.440459,1.010735,129.271719,42.717190,4528,3534,918
20260808,r10,100,5-10,10,10,2,10,25.775715,337.555556,117.000000,1.953704,31.643770,61.822551,71,76,0.682033,3.909427,27.887246,0.000000,0.000000,10.014787,14,18,18,8.555161,15,23.265651,1.124873,1.010735,129.271719,42.717190,4563,3324,1143
20260808,r15,100,5-10,15,10,2,10,34.246237,296.111111,155.333333,2.570370,22.334001,57.406654,70,80,0.576858,5.179298,37.134935,0.000000,0.000000,9.604436,13,16,16,12.528202,21,33.182406,1.134683,1.010735,129.271719,42.717190,4508,2910,1509
20260808,r20,100,5-10,20,10,2,10,43.985056,249.888889,196.777778,3.270370,15.651650,51.186691,67,76,0.467634,6.565619,46.670980,0.000000,0.000000,8.881701,9,14,16,15.596054,26,33.852544,1.156859,1.010735,129.271719,42.717190,4471,2493,1886
20260808,B_smooth,150,4-8,5,10,2,10,27.811924,261.000000,101.222222,1.675926,31.071742,52.073937,61,70,0.807924,3.369686,23.713494,1.728281,52.200000,9.487985,12,16,14,4.123313,6,46.428571,1.665724,1.010735,129.271719,42.717190,3636,2579,984
20260808,B_r3,150,4-8,3,10,2,10,23.892989,275.000000,86.111111,1.438889,37.462157,53.903882,63,68,0.833666,2.887246,20.358595,1.704251,51.800000,9.561922,12,17,15,3.350171,6,50.969213,1.752509,1.010735,129.271719,42.717190,3609,2681,859
20260808,B_r12,150,4-8,12,10,2,10,41.172820,210.666667,146.444444,2.457407,18.035929,44.321627,55,62,0.734381,4.926063,34.916821,0.000000,0.000000,8.804067,10,15,17,11.217845,18,38.383838,1.169953,1.010735,129.271719,42.717190,3584,2051,1449
20260808,C_surge,100,12-20,5,12,2,12,17.614219,803.444444,171.444444,2.862963,60.343621,172.761553,188,195,0.524104,5.735675,40.621072,1.232902,37.300000,11.724584,18,18,33,4.295105,6,21.445221,1.299627,1.010735,129.271719,42.717190,9767,7884,1669
20260808,D_big_r_surge,100,12-20,10,12,2,12,21.406159,751.444444,204.333333,3.411111,47.257221,161.199630,175,184,0.442292,6.841035,48.199630,0.730129,21.700000,11.735675,18,18,29,7.403951,12,17.414634,1.185146,1.010735,129.271719,42.717190,9616,7404,1996
20260808,E_weak_rebalance,100,12-20,5,5,5,10,12.736179,831.333333,122.000000,2.022222,71.284658,144.153420,158,164,0.662902,4.072089,29.637708,0.000000,0.000000,9.841035,13,16,27,4.710754,7,10.834671,1.070040,1.010735,129.271719,42.717190,9595,8207,1220
20260808,F_agile,100,12-20,5,15,1,10,24.959612,722.555556,242.111111,4.005556,34.016526,136.255083,152,164,0.198078,8.044362,56.719039,15.428835,462.300000,21.036969,28,36,30,2.553419,6,20.721094,1.280758,1.010735,129.271719,42.717190,9644,7100,2357
20260808,G_overload,60,25-40,3,10,2,10,6.272810,1826.222222,122.555556,2.037037,153.420434,312.523105,336,346,0.438940,4.086876,28.859519,0.717190,21.500000,11.639556,18,19,50,3.130947,4,15.308642,1.221062,1.010735,129.271719,42.717190,19457,17943,1185
20260808,H_showcase,130,10-18,8,12,2,12,23.449380,637.666667,197.000000,3.255556,42.791632,139.310536,153,165,0.575942,6.548983,47.048059,1.530499,47.000000,11.561922,18,18,27,5.487851,9,26.305221,1.333032,1.010735,129.271719,42.717190,8373,6229,1949
20260808,I_busy_fleet,200,15-25,8,12,2,12,27.031786,874.888889,323.444444,5.401852,36.098047,194.996303,215,234,0.547255,10.848429,77.325323,2.375231,71.000000,11.820702,18,18,40,5.268594,9,24.482226,1.310365,1.010735,129.271719,42.717190,12063,8598,3147
20260808,J_short_timeout,100,12-20,5,10,2,5,14.056878,822.666667,133.666667,2.242593,32.243345,72.308688,81,90,0.626137,4.497227,31.900185,0.988909,29.300000,9.659889,13,18,19,4.182456,6,22.368421,1.315512,1.010735,129.271719,42.717190,9638,8192,1326
20260808,K_calm_talk,80,3-6,4,8,2,15,17.218814,224.888889,47.111111,0.779630,79.171676,61.724584,69,75,0.834335,1.561922,11.024030,0.667283,21.100000,10.349353,14,16,15,3.728423,6,34.854772,1.512344,1.010735,129.271719,42.717190,2727,2184,474
